Date,AAPL,GOOG,IBM,MSFT
2012-03-29,152059600,3862900,3403700,37038500
2012-03-30,182759500,4638700,3215200,31749400
2012-04-02,149587900,4585400,3387900,35853600
2012-04-03,208639900,4105000,4091500,42752100
2012-04-04,143245200,3267300,4404000,49455900
2012-04-05,160324500,4654700,3809000,50368600
2012-04-09,149384200,4381600,3326900,31056400
2012-04-10,222431300,4982500,4132900,54131300
2012-04-11,174153700,4414300,3366200,43014000
2012-04-12,153584200,11556300,2929600,38304000
2012-04-13,214911200,16379700,3767000,39749200
2012-04-16,262696700,11426700,3826600,38124800
2012-04-17,256382000,6070400,6065500,34361500
2012-04-18,238632800,5358900,10153500,40552900
2012-04-19,208679800,6613800,5762900,54781200
2012-04-20,257746300,6139700,4758200,106045000
2012-04-23,241632300,4411900,3618800,61398200
2012-04-24,269037300,3872600,5626300,40871100
2012-04-25,226444400,3655800,4003400,62495500
2012-04-26,134017100,4200600,3302700,40308100
2012-04-27,101680600,3284900,3496900,41419100
2012-04-30,126536200,4832600,2773200,35697200
2012-05-01,152749800,4019600,2715900,43832300
2012-05-02,106847300,3235000,2360300,37385300
2012-05-03,97637400,3749900,2826600,31501300
2012-05-04,132498100,4431300,4023600,57927200
2012-05-07,115029600,4003800,3373400,48641400
2012-05-08,124313000,5374600,3881500,46328300
2012-05-09,120176000,4675000,3742500,50309300
2012-05-10,83300000,3083200,3830500,43839200
2012-05-11,99886500,4214400,2391500,43459300
2012-05-14,88156600,3662400,3029200,40528900
2012-05-15,119084000,4219900,2987400,61822800
2012-05-16,140224000,9706300,5001000,60083700
2012-05-17,179305000,6732700,5626300,48484000
2012-05-18,183073100,11991700,5737100,56205300
2012-05-21,157776500,6173800,3831700,38787900
2012-05-22,173717600,6126600,3567100,39504900
2012-05-23,146224400,6379900,4100000,65171000
2012-05-24,124057500,3796600,3569300,52575000
